cycle,bootstrap,component,similarity
0506,100,IC3,0.9792467843687411
0506,101,IC1,0.9178119944092903
0506,101,IC2,0.9948542216077104
0506,101,IC3,0.9761754969101673
0506,102,IC1,0.735595995203552
0506,102,IC2,0.7763137093556551
0506,102,IC3,0.9800781681992112
0506,103,IC1,0.9211068475916658
0506,103,IC2,0.9980545116866764
0506,103,IC3,0.9917377022233017
0506,104,IC1,0.9509468584753176
0506,104,IC2,0.9964356977272348
0506,104,IC3,0.9981049184046848
0506,105,IC1,0.7642168680595737
0506,105,IC2,0.9878504835043946
0506,105,IC3,0.8533384101543966
0506,106,IC1,0.8749991005751503
0506,106,IC2,0.9367018554947224
0506,106,IC3,0.9629987123645156
0506,107,IC1,0.2516103755363062
0506,107,IC2,0.9773821731334869
0506,107,IC3,0.957350362568979
0506,108,IC1,0.8240523192103131
0506,108,IC2,0.9901319316173913
0506,108,IC3,0.9049693352852309
0506,109,IC1,0.9125802152868915
0506,109,IC2,0.9949404958574881
0506,109,IC3,0.95772674880624
0506,110,IC1,0.7042295237447955
0506,110,IC2,0.7836114784826428
0506,110,IC3,0.9769765003049209
0506,111,IC1,0.5300707618604875
0506,111,IC2,0.9786546175661427
0506,111,IC3,0.9839598909476762
0506,112,IC1,0.9543086093365224
0506,112,IC2,0.9959436609666081
0506,112,IC3,0.9967734098745542
0506,113,IC1,0.8630148664403146
0506,113,IC2,0.996308405496835
0506,113,IC3,0.9717118857474529
0506,114,IC1,0.8867193559322522
0506,114,IC2,0.9938050509968893
0506,114,IC3,0.944464015623333
0506,115,IC1,0.7809073687201065
0506,115,IC2,0.872221341673323
0506,115,IC3,0.9815859070787291
0506,116,IC1,0.5554970516925316
0506,116,IC2,0.9913336639885335
0506,116,IC3,0.8037609564977174
0506,117,IC1,0.6935888548672533
0506,117,IC2,0.8147850017495777
0506,117,IC3,0.978686859296584
0506,118,IC1,0.9598046202766807
0506,118,IC2,0.99712282369262
0506,118,IC3,0.9977467815222506
0506,119,IC1,0.5783207240487859
0506,119,IC2,0.9649592753362364
0506,119,IC3,0.995116716505162
0506,120,IC1,0.9574449687301955
0506,120,IC2,0.9985453830051588
0506,120,IC3,0.9871969682191997
0506,121,IC1,0.5001906406217758
0506,121,IC2,0.9612374814025655
0506,121,IC3,0.9897145995939356
0506,122,IC1,0.7873222865253344
0506,122,IC2,0.9888061165510884
0506,122,IC3,0.9927835759271542
0506,123,IC1,0.8537818130018604
0506,123,IC2,0.9887867779924855
0506,123,IC3,0.9545880616909388
0506,124,IC1,0.5791004009381792
0506,124,IC2,0.987363867242032
0506,124,IC3,0.8266579500140785
0506,125,IC1,0.9871893313472134
0506,125,IC2,0.9980780165514084
0506,125,IC3,0.9989381152545613
0506,126,IC1,0.6522140312251927
0506,126,IC2,0.6114682550388191
0506,126,IC3,0.9801314239179197
0506,127,IC1,0.9262007193188649
0506,127,IC2,0.9952586996309659
0506,127,IC3,0.9763392931743555
0506,128,IC1,0.7364966230722791
0506,128,IC2,0.7479159797500015
0506,128,IC3,0.9857193225591288
0506,129,IC1,0.9139237663990947
0506,129,IC2,0.9956859850164235
0506,129,IC3,0.979765889978101
0506,130,IC1,0.8266968667678494
0506,130,IC2,0.9918524536947176
0506,130,IC3,0.9312547668544786
0506,131,IC1,0.7627132721914611
0506,131,IC2,0.8501121907810227
0506,131,IC3,0.9863264002244823
0506,132,IC1,0.7457012918481947
0506,132,IC2,0.8312588819188473
0506,132,IC3,0.9820776372679514
0506,133,IC1,0.6619994357417971
0506,133,IC2,0.6682955124832273
0506,133,IC3,0.9767411042008518
0506,134,IC1,0.7865053891611171
0506,134,IC2,0.985285102322188
0506,134,IC3,0.9146045579331685
0506,135,IC1,0.6805318580746356
0506,135,IC2,0.8053544355990282
0506,135,IC3,0.9646401396279329
0506,136,IC1,0.9025619410476741
0506,136,IC2,0.9985306968616883
0506,136,IC3,0.990480058573872
0506,137,IC1,0.971481098669198
0506,137,IC2,0.9965217164068715
0506,137,IC3,0.9935059032040143
0506,138,IC1,0.955665156865987
0506,138,IC2,0.9978607156615784
0506,138,IC3,0.9971191281403298
0506,139,IC1,0.4128538335398458
0506,139,IC2,0.9528295185539024
0506,139,IC3,0.8583030869189423
0506,140,IC1,0.9392873934069831
0506,140,IC2,0.9945133685179657
0506,140,IC3,0.9920820214354578
0506,141,IC1,0.903925904007118
0506,141,IC2,0.992941271896038
0506,141,IC3,0.994452951125381
0506,142,IC1,0.9533815732111026
0506,142,IC2,0.9928419570308289
0506,142,IC3,0.9992646780352008
0506,143,IC1,0.9085565326896042
0506,143,IC2,0.9931552573965156
0506,143,IC3,0.9859995027901605
0506,144,IC1,0.6381945718709887
0506,144,IC2,0.9708299873698971
0506,144,IC3,0.7871038065755411
0506,145,IC1,0.7382462216717263
0506,145,IC2,0.822034277519493
0506,145,IC3,0.9789512646275104
0506,146,IC1,0.8800708881867928
0506,146,IC2,0.995968447110992
0506,146,IC3,0.9924132067465474
0506,147,IC1,0.6299949553857431
0506,147,IC2,0.9674412006878024
0506,147,IC3,0.9743393189332703
0506,148,IC1,0.9137540014480986
0506,148,IC2,0.9946107097847823
0506,148,IC3,0.9942057373221551
0506,149,IC1,0.6728485006942605
0506,149,IC2,0.7255216751598254
0506,149,IC3,0.9712886287773188
0506,150,IC1,0.9191497369391094
0506,150,IC2,0.9907574840188789
0506,150,IC3,0.979264524761424
0506,151,IC1,0.8691424997451791
0506,151,IC2,0.9888654481216448
0506,151,IC3,0.8690982214482874
0506,152,IC1,0.798158258829377
0506,152,IC2,0.9804076122954334
0506,152,IC3,0.9435270359712944
0506,153,IC1,0.9653324233542244
0506,153,IC2,0.9968306142566505
0506,153,IC3,0.9861504289008551
0506,154,IC1,0.8872870961451795
0506,154,IC2,0.992016915513943
0506,154,IC3,0.980965159885866
0506,155,IC1,0.9732336798774481
0506,155,IC2,0.9975537498846808
0506,155,IC3,0.9996550246966389
0506,156,IC1,0.7721882833771991
0506,156,IC2,0.9924584573214088
0506,156,IC3,0.8101588122968959
0506,157,IC1,0.9104838010206706
0506,157,IC2,0.9900590102574816
0506,157,IC3,0.9765394608198494
0506,158,IC1,0.7772682069620593
0506,158,IC2,0.8205661957170378
0506,158,IC3,0.9911818225376889
0506,159,IC1,0.7910134812817343
0506,159,IC2,0.9798668492564349
0506,159,IC3,0.9113620339382671
0506,160,IC1,0.6765929742821716
0506,160,IC2,0.68400125762604
0506,160,IC3,0.9833582063924163
0506,161,IC1,0.7728560950435452
0506,161,IC2,0.8281862737336063
0506,161,IC3,0.9872821020513892
0506,162,IC1,0.6952384016972997
