cycle,bootstrap,component,A,G,AG
0506,84,IC1,-0.02780980669899756,-0.027130539729550037,-0.02290981010530581
0506,84,IC2,-0.03654951148080178,0.039796387938720965,-0.057908222079578776
0506,84,IC3,0.12587322599501208,0.08556137140729989,-0.0533602721812393
0506,85,IC1,0.0464222586421102,0.04246645752342183,-0.07337351580011518
0506,85,IC2,0.0625435651233921,-0.02998779595678989,-0.04344954873466493
0506,85,IC3,0.10533551790779574,0.07294316570148016,-0.07867349081664837
0506,86,IC1,0.017646299701054767,-0.008989774977573712,-0.031977724751500354
0506,86,IC2,-0.018006559323661183,0.041104184962584875,0.013316665068941273
0506,86,IC3,0.06809091530705283,0.04793677121017924,-0.0025040978015501043
0506,87,IC1,0.09526409891380552,0.0552243461146369,-0.02105541925152408
0506,87,IC2,0.09813067931986072,0.012445009993925268,0.0035580258304141327
0506,87,IC3,0.07353666794180125,0.032409155307096,0.01957324259973533
0506,88,IC1,0.1160954221412748,0.006192628921841164,-0.05248319504751321
0506,88,IC2,-0.028652551168602682,0.024466795091615222,0.03536909778319798
0506,88,IC3,0.17089812983479424,0.11345026977685406,-0.09385694973593633
0506,89,IC1,0.012883375108077287,-0.009031094068581737,-0.05862676520855189
0506,89,IC2,0.052513657183798766,0.007711536611359079,-0.08106558482389215
0506,89,IC3,0.16063951678302144,0.051025480651655845,-0.04284390705758474
0506,90,IC1,0.04432358663664766,0.01515089434518227,-0.03636050408757785
0506,90,IC2,0.13790006768116353,0.03844245899164968,-0.08102846098863134
0506,90,IC3,0.08280229511732763,0.07361158093196969,0.02893679327242986
0506,91,IC1,0.0009275920894539053,0.053318044347962,-0.06525080989697003
0506,91,IC2,0.051414812365416576,-0.013262906051451216,-0.00020796074903435546
0506,91,IC3,0.20621157294265474,0.07036858685551525,-0.06606845780979986
0506,92,IC1,0.02983296913825085,0.026406318128277272,-0.0991796993875679
0506,92,IC2,0.0790442961803173,0.03186659749056797,-0.07152719742904343
0506,92,IC3,0.12505015219447804,0.08317197964941231,0.08773368148996125
0506,93,IC1,0.08652927947097172,0.023229052003212288,-0.05451435602406889
0506,93,IC2,-0.024195277975924488,0.041079082181089695,0.01328013307858756
0506,93,IC3,0.16964366344456142,0.06989154445875558,-0.10578293444341372
0506,94,IC1,-0.013104532780875573,0.061193528726252985,-0.05324427722525643
0506,94,IC2,0.0027579799666075117,0.03401097657974953,-0.027340847111853334
0506,94,IC3,0.17609040606527704,0.09292965897682531,-0.07202851136412981
0506,95,IC1,0.01882085306570858,-0.0436038917109147,-0.00819072039758592
0506,95,IC2,0.03331419052493406,0.024485937933201578,-0.02973582130295604
0506,95,IC3,0.07759086693127754,0.06637874594609286,-0.054209183911161064
0506,96,IC1,0.09280842038255172,0.07567627102375804,-0.09201858048440131
0506,96,IC2,0.03761490319990984,0.05281214556049367,-0.06925792607334254
0506,96,IC3,0.11434791151340498,0.06827273897863013,-0.020281522733655532
0506,97,IC1,0.08972558343813469,0.061534433103346095,-0.08969577329096817
0506,97,IC2,0.09190902454605854,0.04143680319812918,-0.047314263998002835
