analysis,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
AG3_joint_fasting,PHQ9_TOTAL,union,G3_FROZEN_PC1_FZ,0.130539616489744,0.27951241184106,-0.501761388047511,0.762840621026999,0.65158095699274,0.9363478132576771
AG3_joint_fasting,PHQ9_TOTAL,union,G3_FROZEN_PC2_FZ,0.18511909570046,0.149928570909992,-0.154042894891677,0.524281086292597,0.248200283195262,0.496400566390524
AG3_joint_fasting,PHQ9_TOTAL,union,G3_FROZEN_PC3_FZ,0.0090878668506756,0.0988637238765674,-0.214557414257605,0.232733147958957,0.928772644493566,0.9363478132576771
AG3_joint_fasting,COGAFF_SUM,all_PCs,A_FROZEN_PC1_FZ,-0.181051702854711,0.0559568412828818,-0.304211880123937,-0.0578915255854848,0.0079363714144377,0.0476182284866262
AG3_joint_fasting,COGAFF_SUM,all_PCs,A_FROZEN_PC2_FZ,-0.0012799150211336,0.0539909463107075,-0.120113186630305,0.117553356588038,0.981511613144298,0.9815116131442979
AG3_joint_fasting,COGAFF_SUM,all_PCs,A_FROZEN_PC3_FZ,0.101408490799257,0.0528448791922814,-0.0149023040897899,0.217719285688304,0.0812927531523454,0.1625855063046908
AG3_joint_fasting,COGAFF_SUM,all_PCs,G3_FROZEN_PC1_FZ,0.126198581874124,0.0609132462569902,-0.0078705691905192,0.260267732938767,0.0625808152881767,0.1625855063046908
AG3_joint_fasting,COGAFF_SUM,all_PCs,G3_FROZEN_PC2_FZ,0.0622346392254469,0.058149056235247,-0.0657505706216658,0.19021984907256,0.307424093177885,0.4611361397668275
AG3_joint_fasting,COGAFF_SUM,all_PCs,G3_FROZEN_PC3_FZ,-0.0068162584802798,0.0448115401958061,-0.105445793452099,0.0918132764915392,0.881854655399152,0.9815116131442979
AG3_joint_fasting,COGAFF_SUM,union,A,-0.0709161613028455,0.171878852554748,-0.459733138743105,0.317900816137414,0.689559475934379,
AG3_joint_fasting,COGAFF_SUM,union,G_HBA1C,0.13149531400561,0.173632603391918,-0.261288923452718,0.524279551463938,0.46822158075197,
AG3_joint_fasting,COGAFF_SUM,union,A_FROZEN_PC1_FZ,-0.198587322099244,0.0627400506193354,-0.340515177002095,-0.056659467196392,0.011453293642591,0.068719761855546
AG3_joint_fasting,COGAFF_SUM,union,A_FROZEN_PC2_FZ,-0.0104414632271554,0.0542472984799444,-0.133157378046014,0.112274451591703,0.851640193591098,0.851640193591098
AG3_joint_fasting,COGAFF_SUM,union,A_FROZEN_PC3_FZ,0.10219957625566,0.0521779774247278,-0.015835209116011,0.220234361627331,0.0818187666028799,0.2454562998086397
AG3_joint_fasting,COGAFF_SUM,union,G3_FROZEN_PC1_FZ,0.0338709230297254,0.141775736510073,-0.286848074827527,0.354589920886977,0.816530622921331,0.851640193591098
