population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_OI_PC2_FZ,0.146756150644454,0.0531926197672619,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,A_OI_PC3_FZ,0.134440250438918,0.0373425808757306,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC1_FZ,0.13179097512139,0.0529170078787484,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC2_FZ,0.0895277081262908,0.07830170137153,,,,
2021-2023,X3,SOMATIC_SCORE,all_PCs,G3_OI_PC3_FZ,-0.0214201486027346,0.062732453283249,,,,
2021-2023,X3,SOMATIC_SCORE,union,A,-0.520101250935174,0.168279372622692,,,,
2021-2023,X3,SOMATIC_SCORE,union,G_HBA1C,0.070044723920784,0.318192836251464,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_OI_PC1_FZ,-0.204691164911821,0.111257857011007,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_OI_PC2_FZ,0.123082674170842,0.0515252700178735,,,,
2021-2023,X3,SOMATIC_SCORE,union,A_OI_PC3_FZ,0.131837269681117,0.039251816689469,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_OI_PC1_FZ,0.0865156842905084,0.220650210335828,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_OI_PC2_FZ,0.103773653915926,0.105558978652713,,,,
2021-2023,X3,SOMATIC_SCORE,union,G3_OI_PC3_FZ,-0.0073739139225244,0.0808989755941991,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_OI_PC1_FZ,-0.0668617085113558,0.201322832612524,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_OI_PC2_FZ,0.290383894992843,0.0883296617324429,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,A_OI_PC3_FZ,0.19024413401529,0.0845321903771304,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC1_FZ,0.204267730321056,0.122304448751922,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC2_FZ,0.26424373433075,0.185215547964302,,,,
2021-2023,X3,PHQ9_TOTAL,all_PCs,G3_OI_PC3_FZ,0.086773902917283,0.141142073613577,,,,
2021-2023,X3,PHQ9_TOTAL,union,A,-1.0628922149909,0.404073237269211,,,,
2021-2023,X3,PHQ9_TOTAL,union,G_HBA1C,0.401882715044441,0.47963773777351,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_OI_PC1_FZ,-0.333994197021762,0.243896664738892,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_OI_PC2_FZ,0.23756722182359,0.0927586800272023,,,,
2021-2023,X3,PHQ9_TOTAL,union,A_OI_PC3_FZ,0.183521278768125,0.0898539372551366,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_OI_PC1_FZ,-0.0774442695563178,0.397547254430544,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_OI_PC2_FZ,0.350912454811927,0.232860391608949,,,,
2021-2023,X3,PHQ9_TOTAL,union,G3_OI_PC3_FZ,0.149635920536444,0.15435725183471,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_OI_PC1_FZ,0.0032533632080715,0.107310724934302,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_OI_PC2_FZ,0.1454708500701,0.0680685711516138,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,A_OI_PC3_FZ,0.0609651522278025,0.060424390518357,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_OI_PC1_FZ,0.0719275299471992,0.0781094059818407,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_OI_PC2_FZ,0.168158229686583,0.11767871552827,,,,
2021-2023,X3,COGAFF_SUM,all_PCs,G3_OI_PC3_FZ,0.106402701885534,0.0828268407955568,,,,
2021-2023,X3,COGAFF_SUM,union,A,-0.563489642969123,0.268106609861361,,,,
2021-2023,X3,COGAFF_SUM,union,G_HBA1C,0.34977783358651,0.238108731797478,,,,
2021-2023,X3,COGAFF_SUM,union,A_OI_PC1_FZ,-0.138544433002386,0.144499874318732,,,,
2021-2023,X3,COGAFF_SUM,union,A_OI_PC2_FZ,0.115663933506656,0.0714827336267345,,,,
2021-2023,X3,COGAFF_SUM,union,A_OI_PC3_FZ,0.0562912873464734,0.0637562158344115,,,,
2021-2023,X3,COGAFF_SUM,union,G3_OI_PC1_FZ,-0.177398927298192,0.231104381244255,,,,
2021-2023,X3,COGAFF_SUM,union,G3_OI_PC2_FZ,0.244496595296072,0.133149717577889,,,,
2021-2023,X3,COGAFF_SUM,union,G3_OI_PC3_FZ,0.158056625553492,0.0780547053205318,,,,
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_OI_PC1_FZ,-0.0713898876987529,0.0809549235000529,-0.329024584886022,0.186244809488516,0.442795458900477,0.442795458900477
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_OI_PC2_FZ,0.150469102151111,0.0478027288756242,-0.0016605157415981,0.302598720043821,0.0513562409639904,0.0770343614459856
2021-2023,X0,SOMATIC_SCORE,all_PCs,A_OI_PC3_FZ,0.175167800439085,0.029016568311861,0.0828241298229902,0.267511471055179,0.0091143553282949,0.047653851460874405
