cycle,bootstrap,component,A,G,AG,aligned_component
0506,156,IC1,0.0405355971334334,0.049482313390713,-0.0629751150238575,IC1
0506,157,IC1,0.136659062458596,0.0393802407681079,-0.0684366289945858,IC1
0506,158,IC1,0.0527214089760758,-0.0135865858036507,-0.1046748740336424,IC1
0506,159,IC1,0.0559851064640048,0.081451046029927,-0.0566320585300437,IC1
0506,160,IC1,-0.0370967357293546,0.0449262860538209,-0.0612904101557544,IC1
0506,161,IC1,0.1257006276821634,0.0209783660923376,-0.0630590408934804,IC1
0506,162,IC1,-0.0068383958233009,0.0194839092405577,0.0024515235103011,IC1
0506,163,IC1,0.1357707571151781,0.0925749478565686,-0.0920346332239863,IC1
0506,164,IC1,0.1715991797381011,0.0325126497062668,-0.090274448187956,IC1
0506,165,IC1,0.0479557019137901,0.0310132140955559,-0.0390261633800261,IC1
